City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
273,Mandurah,92,AU,2021-05-28 19:16:25,91,-32.55,115.7,61.99,12.97
274,Chuy,100,UY,2021-05-28 19:20:25,72,-33.6971,-53.4616,63.07,5.41
275,Tautira,50,PF,2021-05-28 19:21:25,75,-17.7333,-149.15,82.42,3.85
276,Talnakh,100,RU,2021-05-28 19:21:25,94,69.4865,88.3972,28.65,7.76
277,Nhulunbuy,90,AU,2021-05-28 19:21:25,73,-12.2333,136.7667,75.81,10.36
278,Aden,100,YE,2021-05-28 19:17:31,54,12.7794,45.0367,89.91,12.01
279,Kavieng,100,PG,2021-05-28 19:21:26,80,-2.5744,150.7967,81.64,10.56
280,Caravelas,39,BR,2021-05-28 19:21:26,70,-17.7125,-39.2481,78.78,7.99
281,Itanagar,22,IN,2021-05-28 19:21:26,92,27.1,93.6167,72.52,3.74
282,Portland,75,US,2021-05-28 19:21:27,59,45.5234,-122.6762,66.0,1.99
283,Bud,97,US,2021-05-28 19:21:27,94,39.447,-86.1758,67.32,10.8
284,Olafsvik,100,IS,2021-05-28 19:21:27,80,64.8945,-23.7142,49.73,27.85
285,Kahului,20,US,2021-05-28 19:17:22,66,20.8947,-156.47,82.42,18.41
286,Gudur,19,IN,2021-05-28 19:21:28,43,14.1333,79.85,90.86,9.4
287,Bambous Virieux,75,MU,2021-05-28 19:21:28,94,-20.3428,57.7575,73.22,8.68
288,Arlit,96,NE,2021-05-28 19:21:28,5,18.7369,7.3853,92.55,7.9
289,Ambon,40,ID,2021-05-28 19:21:29,100,-3.6954,128.1814,75.34,10.8
290,Namibe,0,AO,2021-05-28 19:21:29,74,-15.1961,12.1522,72.95,4.65
291,Shimoda,100,JP,2021-05-28 19:21:29,92,34.6667,138.95,69.17,12.86
292,Sotouboua,46,TG,2021-05-28 19:21:30,57,8.5667,0.9833,82.11,2.8
293,Bereda,24,ES,2021-05-28 19:21:30,91,43.2686,-7.5406,64.42,3.2
294,Vila,8,PT,2021-05-28 19:21:30,66,42.0304,-8.1588,65.75,3.69
295,Broken Hill,100,AU,2021-05-28 19:21:31,81,-31.95,141.4333,42.51,9.22
296,Noormarkku,0,FI,2021-05-28 19:21:31,76,61.5927,21.8685,47.98,5.23
297,Wanning,100,CN,2021-05-28 19:21:31,86,18.8003,110.3967,81.59,9.4
298,Walsall,100,GB,2021-05-28 19:21:31,93,52.5853,-1.984,60.33,1.57
299,Kodiak,90,US,2021-05-28 19:16:45,82,57.79,-152.4072,51.31,5.75
300,Kembe,100,CF,2021-05-28 19:21:32,89,4.6228,21.8865,70.84,8.08
301,Saint-Francois,0,FR,2021-05-28 19:21:33,45,46.4154,3.9054,67.44,2.3
302,Srednekolymsk,8,RU,2021-05-28 19:21:33,51,67.45,153.6833,45.52,17.81
303,Canto Do Buriti,1,BR,2021-05-28 19:21:33,20,-8.11,-42.9444,93.47,6.69
304,Hanover,20,DE,2021-05-28 19:21:34,93,52.3705,9.7332,55.87,6.76
305,Eilenburg,100,DE,2021-05-28 19:21:34,89,51.4598,12.6334,55.26,6.76
306,Bandarbeyla,3,SO,2021-05-28 19:21:34,83,9.4942,50.8122,79.65,25.39
307,Nanortalik,100,GL,2021-05-28 19:21:35,78,60.1432,-45.2371,40.51,7.52
308,El Limon,67,VE,2021-05-28 19:21:35,73,10.3059,-67.6321,79.77,1.21
309,Bogorodsk,29,RU,2021-05-28 19:21:05,87,56.1033,43.5158,61.36,2.51
310,Atar,96,MR,2021-05-28 19:21:35,16,20.5169,-13.0499,99.97,5.53
311,Margate,100,GB,2021-05-28 19:21:36,70,51.3813,1.3862,58.86,1.99
312,Kondinskoye,67,RU,2021-05-28 19:21:36,79,59.6481,67.41,48.61,5.55
313,Riachao Das Neves,35,BR,2021-05-28 19:21:36,24,-11.7461,-44.91,90.28,5.75
314,Farah,0,AF,2021-05-28 19:21:37,19,32.5,62.5,83.23,5.21
315,Kannangad,29,IN,2021-05-28 19:21:37,83,12.3081,75.1063,79.74,1.83
316,Darnah,6,LY,2021-05-28 19:21:37,63,32.767,22.6367,72.18,13.09
317,Moron,9,AR,2021-05-28 19:22:38,37,-34.6534,-58.6198,69.98,9.78
318,Omboue,100,GA,2021-05-28 19:22:38,90,-1.5746,9.2618,77.11,7.9
319,Lukulu,0,ZM,2021-05-28 19:22:38,36,-14.3707,23.242,58.64,2.82
320,Moa,24,CU,2021-05-28 19:22:39,64,20.6569,-74.9403,84.69,12.5
321,Quatre Cocos,54,MU,2021-05-28 19:22:39,86,-20.2078,57.7625,73.09,9.22
322,Narsaq,96,GL,2021-05-28 19:22:39,61,60.9167,-46.05,52.02,5.19
323,Niort,100,FR,2021-05-28 19:22:39,69,46.3333,-0.3333,70.68,7.23
324,Santa Maria,90,BR,2021-05-28 19:22:40,100,-29.6842,-53.8069,60.1,4.72
325,Nuuk,35,GL,2021-05-28 19:22:40,86,64.1835,-51.7216,40.87,10.0
326,Iqaluit,75,CA,2021-05-28 19:22:28,69,63.7506,-68.5145,31.73,21.0
327,Upington,3,ZA,2021-05-28 19:22:40,50,-28.4478,21.2561,53.98,5.75
328,Nerja,16,ES,2021-05-28 19:22:41,71,36.7585,-3.8873,84.38,0.43
329,Seddon,90,AU,2021-05-28 19:22:41,67,-37.8068,144.8916,52.79,1.99
330,Te Anau,100,NZ,2021-05-28 19:22:41,98,-45.4167,167.7167,38.48,6.13
331,Gashua,100,NG,2021-05-28 19:22:42,10,12.871,11.0482,93.99,7.9
332,Veraval,84,IN,2021-05-28 19:22:42,79,20.9,70.3667,84.16,11.81
333,Pajapan,84,MX,2021-05-28 19:22:42,52,18.25,-94.7,91.56,9.48
334,Umbertide,14,IT,2021-05-28 19:22:42,60,43.3055,12.3366,67.32,4.92
335,Ulaangom,0,MN,2021-05-28 19:22:43,52,49.9811,92.0667,53.1,6.96
336,Sainte-Marie,0,RE,2021-05-28 19:22:43,83,-20.8968,55.5496,69.96,6.91
337,Bonfim,90,BR,2021-05-28 19:22:43,70,3.0833,-59.95,82.98,2.1
338,San Cristobal,99,VE,2021-05-28 19:22:44,66,7.7669,-72.225,80.78,5.73
339,Cidreira,100,BR,2021-05-28 19:22:44,98,-30.1811,-50.2056,63.64,3.76
340,North Platte,90,US,2021-05-28 19:22:44,65,41.1239,-100.7654,58.01,5.01
341,Koumac,45,NC,2021-05-28 19:22:45,75,-20.5667,164.2833,68.67,9.22
342,Lensk,96,RU,2021-05-28 19:22:45,77,60.7253,114.9278,52.79,2.35
343,Faya,5,SA,2021-05-28 19:22:45,44,18.3851,42.4509,71.71,4.12
344,Dagana,20,MR,2021-05-28 19:22:46,26,16.5165,-15.5068,96.78,19.26
345,Yar-Sale,100,RU,2021-05-28 19:22:46,51,66.8333,70.8333,37.69,7.45
346,Vallenar,90,CL,2021-05-28 19:22:46,40,-28.5708,-70.7581,73.26,5.61
347,Kristinehamn,94,SE,2021-05-28 19:22:47,65,59.3098,14.1081,66.18,2.95
348,Fayaoue,12,NC,2021-05-28 19:22:47,66,-20.65,166.5333,72.93,8.39
349,Florence,5,IT,2021-05-28 19:22:47,58,43.7667,11.25,70.54,1.01
350,Husavik,13,IS,2021-05-28 19:22:48,55,66.0449,-17.3389,55.31,17.78
351,Port Lincoln,85,AU,2021-05-28 19:22:48,74,-34.7333,135.8667,57.22,12.17
352,Bogorodskoye,100,RU,2021-05-28 19:22:48,75,56.55,37.8833,59.58,1.48
353,Hualmay,29,PE,2021-05-28 19:22:49,77,-11.0964,-77.6139,70.14,9.15
354,Gladstone,29,AU,2021-05-28 19:22:49,47,-23.85,151.25,57.13,8.05
355,Snasa,11,NO,2021-05-28 19:22:50,67,64.2457,12.3778,47.61,5.93
356,Dengzhou,0,CN,2021-05-28 19:22:50,52,37.8086,120.7508,61.14,3.49
357,Maragogi,12,BR,2021-05-28 19:22:50,74,-9.0122,-35.2225,79.23,11.05
358,Blackfoot,100,US,2021-05-28 19:22:50,29,43.1905,-112.345,66.34,20.54
359,Buseresere,100,TZ,2021-05-28 19:22:51,66,-3.0236,31.8747,71.17,2.95
360,Alugan,98,PH,2021-05-28 19:22:51,83,12.2188,125.4808,80.33,0.69
361,Alofi,96,NU,2021-05-28 19:22:52,88,-19.0595,-169.9187,75.09,2.3
362,Gien,100,FR,2021-05-28 19:22:52,63,47.6933,2.6309,64.51,9.33
363,Yinchuan,100,CN,2021-05-28 19:22:52,15,38.4681,106.2731,71.96,7.96
364,Guanay,96,BO,2021-05-28 19:23:52,58,-15.4975,-67.8797,84.43,3.22
365,Beruwala,97,LK,2021-05-28 19:23:53,86,6.4788,79.9828,80.37,12.39
366,Itoman,75,JP,2021-05-28 19:23:53,88,26.1247,127.6694,77.4,1.14
367,Sobolevo,100,RU,2021-05-28 19:23:53,87,54.4299,31.8996,56.48,7.2
368,Mount Gambier,40,AU,2021-05-28 19:23:54,100,-37.8333,140.7667,35.51,0.0
369,Seydisehir,0,TR,2021-05-28 19:23:54,59,37.4193,31.8453,58.66,4.92
370,Zapolyarnyy,100,RU,2021-05-28 19:23:54,68,69.4154,30.8136,33.08,21.34
371,Charagua,5,BO,2021-05-28 19:23:54,28,-19.8,-63.2167,92.08,6.6
372,Sabzevar,0,IR,2021-05-28 19:23:55,23,36.2126,57.6819,81.43,10.38
373,Hailar,84,CN,2021-05-28 19:23:55,65,49.2,119.7,45.07,5.03
374,Coahuayana,100,MX,2021-05-28 19:23:56,40,18.7333,-103.6833,94.48,8.12
375,Sabaudia,100,IT,2021-05-28 19:23:56,78,41.3003,13.0282,70.59,9.57
376,Wana,1,PK,2021-05-28 19:23:56,22,32.2989,69.5725,81.14,4.81
377,Patea,100,NZ,2021-05-28 19:23:56,74,-39.7583,174.4833,53.67,9.8
378,Zhengjiatun,12,CN,2021-05-28 19:23:57,58,43.5064,123.5064,54.16,2.66
379,Pryozerne,27,UA,2021-05-28 19:23:57,83,45.2698,36.3303,65.23,4.68
380,Hermsdorf,98,DE,2021-05-28 19:23:57,77,50.9,11.8667,53.13,1.99
381,Kang,1,BW,2021-05-28 19:23:58,30,-23.6752,22.7876,59.74,5.97
382,Chara,86,RU,2021-05-28 19:23:58,89,56.9064,118.2631,45.19,1.36
383,Soe,94,ID,2021-05-28 19:23:58,93,-9.8607,124.284,65.21,4.52
384,San Patricio,100,US,2021-05-28 19:23:59,61,28.017,-97.5169,90.32,15.48
385,Ancud,84,CL,2021-05-28 19:23:59,62,-41.8697,-73.8203,51.42,10.49
386,Ous,100,RU,2021-05-28 19:23:59,66,60.9058,61.5186,50.43,4.38
387,Djenne,83,ML,2021-05-28 19:24:00,23,13.9061,-4.5533,99.68,6.13
388,Muromtsevo,10,RU,2021-05-28 19:24:00,74,56.3724,75.2418,42.53,5.1
389,Dwarka,79,IN,2021-05-28 19:24:00,75,22.2394,68.9678,83.89,14.74
390,Yarada,40,IN,2021-05-28 19:24:01,84,17.65,83.2667,88.12,7.34
391,Jadu,99,LY,2021-05-28 19:24:01,19,31.953,12.0261,83.64,6.69
392,Prince Rupert,90,CA,2021-05-28 19:24:02,70,54.3161,-130.3201,50.09,4.61
393,Riyadh,0,SA,2021-05-28 19:20:56,10,24.6877,46.7219,100.45,8.05
394,Norrtalje,10,SE,2021-05-28 19:24:02,66,59.758,18.705,55.58,2.21
395,Ushtobe,100,KZ,2021-05-28 19:24:02,57,45.2514,77.9838,68.72,7.54
396,Gravdal,40,NO,2021-05-28 19:24:03,76,68.1214,13.5031,44.49,8.05
397,Whitehorse,90,CA,2021-05-28 19:24:03,34,60.7161,-135.0538,52.57,20.0
398,Moerai,100,PF,2021-05-28 19:24:04,84,-22.4333,-151.3333,78.12,15.99
399,Yantzaza,93,EC,2021-05-28 19:24:04,44,-3.8278,-78.7594,87.91,3.94
400,Pavlodar,0,KZ,2021-05-28 19:24:04,70,52.3,76.95,44.4,5.86
401,Miri,40,MY,2021-05-28 19:24:05,94,4.4148,114.0089,77.14,2.57
402,Dillon,100,US,2021-05-28 19:24:05,43,34.4166,-79.3712,93.18,10.83
403,Baguanos,5,CU,2021-05-28 19:24:05,52,20.7517,-76.0269,89.89,9.28
404,Nipawin,90,CA,2021-05-28 19:24:06,76,53.3668,-104.0009,55.44,13.8
405,Lebu,100,CL,2021-05-28 19:24:06,84,-37.6167,-73.65,54.86,8.59
406,Vega De Alatorre,68,MX,2021-05-28 19:24:06,63,20.0333,-96.6333,89.04,16.69
407,Saint George,1,US,2021-05-28 19:21:26,11,37.1041,-113.5841,95.47,1.01
