City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
315,Ayan,RU,56.45,138.1667,37.65,95,96,4.79,overcast clouds
316,Dahanu,IN,19.9667,72.7333,84.16,79,88,9.46,overcast clouds
317,Pacific Grove,US,36.6177,-121.9166,81.81,75,1,4.0,clear sky
318,Colares,PT,38.7992,-9.4469,74.88,59,0,12.66,clear sky
319,Tecpan,GT,14.7623,-90.9947,69.12,70,96,3.8,overcast clouds
320,Katobu,ID,-4.9408,122.5276,73.85,93,73,3.13,broken clouds
321,Canto Do Buriti,BR,-8.11,-42.9444,92.28,22,54,7.67,broken clouds
322,College,US,64.8569,-147.8028,63.09,51,75,0.0,broken clouds
323,Sadsalan,PH,6.8231,124.6222,73.8,97,100,3.02,heavy intensity rain
324,Mezen,RU,65.8522,44.24,41.2,70,98,8.48,overcast clouds
325,Laguna,US,38.421,-121.4238,94.44,38,1,5.23,clear sky
326,Namuac,PH,18.6109,121.1657,79.84,84,67,4.81,broken clouds
327,Te Anau,NZ,-45.4167,167.7167,47.57,95,100,6.55,light rain
328,Isla Vista,US,34.4133,-119.861,89.11,67,1,8.05,clear sky
329,La Tijera,MX,19.9,-104.4,85.37,15,94,7.2,overcast clouds
330,Houma,US,29.5958,-90.7195,82.99,63,1,4.61,clear sky
331,Vardo,NO,70.3705,31.1107,43.0,75,75,10.36,broken clouds
332,Saint-Augustin,CA,51.226,-58.6502,62.62,34,5,9.31,clear sky
333,Tremedal,BR,-14.9758,-41.4108,83.25,36,31,9.64,scattered clouds
334,Kuryk,KZ,43.2,51.65,74.84,54,4,22.1,clear sky
335,Tongliao,CN,43.6125,122.2653,55.44,55,37,9.04,scattered clouds
336,Kharp,RU,66.8014,65.8081,33.3,82,29,10.69,scattered clouds
337,Lalmohan,BD,22.3384,90.7419,83.05,84,69,11.97,broken clouds
338,Anadyr,RU,64.75,177.4833,43.3,65,0,6.26,clear sky
339,Ormara,PK,25.2088,64.6357,83.88,83,0,22.5,clear sky
